provinces&cities,district,hospital name,phone number
서울,강남구,강남구보건소	,02-3423-5555
서울,강남구,삼성서울병원	,02-3410-2114
서울,강남구,연세대학교의과대학강남세브란스병원	,02-2019-3114
서울,강동구,강동경희대학교의대병원	,02-440-7000
서울,강동구,강동구보건소	,02-3425-8565
서울,강동구,성심의료재단강동성심병원	,02-2152-1391
서울,강동구,한국보훈복지의료공단중앙보훈병원	,02-2225-1100
서울,강북구,강북구보건소	,"02-901-7706, 02-901-7704"
서울,강서구,강서구보건소	,02-2600-5868
서울,강서구,이화여자대학교의과대학부속서울병원	,1522-7000
서울,관악구,관악구보건소	,02-879-7131
서울,관악구,관악구보건소	,02-879-7241
서울,관악구,에이치플러스양지병원	,02-1877-8875
서울,광진구,광진구보건소	,02-450-1937
서울,광진구,광진구보건소	,02-450-7090
서울,광진구,건국대학교병원	,02-1588-1533
서울,구로구,구로구보건소	,02-860-2013~2015
서울,구로구,구로구보건소 가리봉동선별진료소	,02-860-2018
서울,구로구,고려대학교의과대학부속구로병원	,02-2626-1114
서울,구로구,구로성심병원	,02-2067-1500
서울,금천구,금천구보건소	,02-2627-2717
서울,금천구,금천구보건소	,02-2627-1967
서울,금천구,희명병원	,02-2219-7231
서울,노원구,노원구보건소	,02-2116-3300~4
서울,노원구,노원을지대학교병원	,02-970-8000
서울,노원구,인제대학교상계백병원	,02-950-1114
서울,도봉구,도봉구보건소	,02-2091-4483
서울,동대문구,동대문구보건소	,02-2127-4283
서울,동대문구,경희대학교병원	,02-958-8114
서울,동대문구,삼육서울병원	,1577-3675
서울,동대문구,서울특별시동부병원	,02-920-9118~9
서울,동대문구,서울성심병원	,02-966-1616
서울,동작구,동작구보건소	,02-820-9465
서울,동작구,동작구보건소	,02-832-9404
서울,동작구,보라매병원	,02-870-2114
서울,마포구,마포구보건소	,02-3153-9037
서울,서대문구,서대문구보건소	,02-330-8726
서울,서대문구,학교법인연세대학교의과대학세브란스병원	,1599-1004
서울,서초구,서초구보건소	,02-2155-8093
서울,서초구,학교법인가톨릭학원가톨릭대학교서울성모병원	,02-1588-1511
서울,서초구,서울특별시 어린이병원	,02-570-8000
서울,성동구,성동구보건소	,02-2286-7172
서울,성동구,한양대학교병원	,02-2290-8114
서울,성동구,성동군자의원	,02-499-7785
서울,성북구,성북구보건소	,02-2241-6022
서울,성북구,(학)고려대학교의과대학부속병원(안암병원)	,02-1577-0083
서울,송파구,송파구보건소	,02-2147-3478~9
서울,송파구,재단법인아산사회복지재단서울아산병원	,02-3010-3114
서울,송파구,경찰병원	,02-3400-3411 (야간 및 주말 미운영)
서울,양천구,양천구보건소	,02-2620-3856
서울,양천구,서울특별시 서남병원	,1566-6688
서울,양천구,이화여자대학교의과대학부속목동병원	,02-1666-5000
서울,양천구,홍익병원	,02-2600-0620
서울,영등포구,영등포구보건소	,02-2670-4953
서울,영등포구,한림대학교강남성심병원	,02-829-5114
서울,영등포구,가톨릭대학교 여의도성모병원	,02-1661-7575
서울,영등포구,성애의료재단성애병원	,02-840-7114
서울,영등포구,성애의료재단성애병원	,02-829-7800
서울,용산구,용산구보건소	,"02-2199-8378, 8379"
서울,용산구,순천향대학교 부속 서울병원	,02-709-9114
서울,은평구,은평구보건소	,02-351-8640
서울,은평구,서울특별시립 서북병원	,02-3156-3022
서울,은평구,서울특별시 은평병원	,02-300-8060
서울,은평구,가톨릭대학교 은평성모병원	,02-958-2114
서울,은평구,청구성심병원	,383-0129
서울,종로구,종로구보건소	,02-2148-3557
서울,종로구,강북삼성병원	,02-2001-2001
서울,종로구,서울적십자병원	,02-2002-8650
서울,종로구,서울지구병원	,02-397-2018
서울,중구,인제대학교서울백병원	,02-2270-0114
서울,중구,중구보건소	,02-3396-5181
서울,중구,중구보건소	,02-3396-5181
서울,중랑구,중랑구보건소	,02-2094-0800
서울,중랑구,서울의료원	,02-2276-8333
부산,강서구,강서구보건소	,051-970-3415
부산,강서구,갑을녹산병원	,051-974-8449
부산,금정구,금정구보건소	,051-519-5051
부산,금정구,세웅병원	,051-500-9700
부산,기장군,동남권원자력의원	,051-720-5114
부산,기장군,기장군보건소	,051-709-4796
부산,남구,남구 보건소	,051-607-6460
부산,남구,남구 보건소	,051-933-7119
부산,동구,봉생병원	,051-664-4000
부산,동구,동구보건소	,051-440-6500
부산,동구,좋은문화병원	,051-644-2002
부산,동래구,대동병원	,051-554-1233
부산,동래구,동래구보건소 	,051-555-4000
