title,img_src,link,author,publisher,price
호프가 여기에 있었다(양장본 HardCover),https://bookthumb-phinf.pstatic.net/cover/163/474/16347442.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347442, 조앤 바우어,도토리숲,"12,420원"
눈 밖에 난 자들,https://bookthumb-phinf.pstatic.net/cover/163/474/16347423.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347423, 성은영,아마존의나비,"12,600원"
걸 클래식 컬렉션 2 세트,https://bookthumb-phinf.pstatic.net/cover/163/475/16347598.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347598, 진 웹스터,윌북(willbook),"45,360원"
메리 포핀스(걸 클래식 컬렉션 2),https://bookthumb-phinf.pstatic.net/cover/163/492/16349254.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349254, 패멀라 린던 트래버스,윌북,"10,620원"
키다리 아저씨(걸 클래식 컬렉션 2),https://bookthumb-phinf.pstatic.net/cover/163/492/16349255.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349255, 진 웹스터,윌북,"11,520원"
환담·관화담,https://bookthumb-phinf.pstatic.net/cover/163/492/16349276.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349276, 고다 로한,연암서가,"10,800원"
무지개(상)(양장본 HardCover),https://bookthumb-phinf.pstatic.net/cover/163/412/16341244.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341244, 김한창,바밀리온,"17,100원"
비밀의 화원(걸 클래식 컬렉션 2),https://bookthumb-phinf.pstatic.net/cover/163/493/16349306.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349306, 프랜시스 호지슨 버넷,윌북,"13,320원"
무지개(하)(양장본 HardCover),https://bookthumb-phinf.pstatic.net/cover/163/412/16341245.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341245, 김한창,바밀리온,"17,100원"
이상한 나라의 앨리스(걸 클래식 컬렉션 2),https://bookthumb-phinf.pstatic.net/cover/163/493/16349307.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349307, 루이스 캐럴,윌북,"9,900원"
장녀,https://bookthumb-phinf.pstatic.net/cover/163/457/16345768.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345768, 황의건,예미,"12,600원"
스텔라 오디세이 트릴로지 세트(Stella Odyssey Trilogy)(전3권),https://bookthumb-phinf.pstatic.net/cover/163/483/16348370.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348370, 김보영,새파란상상,"27,000원"
당신을 기다리고 있어(Stella Odyssey Trilogy 1),https://bookthumb-phinf.pstatic.net/cover/163/483/16348366.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348366, 김보영,새파란상상,없음
당신에게 가고 있어(Stella Odyssey Trilogy 2),https://bookthumb-phinf.pstatic.net/cover/163/483/16348367.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348367, 김보영,새파란상상,없음
숙적과의 동침,https://bookthumb-phinf.pstatic.net/cover/163/488/16348862.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348862, 고지영,가하,"12,420원"
미래로 가는 아이들(Stella Odyssey Trilogy 3),https://bookthumb-phinf.pstatic.net/cover/163/483/16348369.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348369, 김보영,새파란상상,없음
명진이의 수학여행(함께교육 5),https://bookthumb-phinf.pstatic.net/cover/163/449/16344998.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344998, 권재원,서유재,"13,500원"
비수(계간문예작가선 104),https://bookthumb-phinf.pstatic.net/cover/163/475/16347512.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347512, 조경진,계간문예,"13,500원"
키다리 아저씨,https://bookthumb-phinf.pstatic.net/cover/163/445/16344542.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344542, 진 웹스터,책에반하다,"10,800원"
